dataset,imageID,ROInum,minJ,maxSCDr,maxPCF,Density,ROI_areaInclude,ROI_areaExclude,ROI_tumourArea,ROI_stromaArea,ROI_areaNecrosis,ROI_propExclude,ROI_propNecrosis,ROI_propAnnotatedOut
HeadAndNeck,24131-08,1,0.015508796,0.191345673,1.97024515,372,2.2486,0.0022007,1.2761,0.97258,0.017336,0.000977741,0.007702148,0.008679889
HeadAndNeck,24131-08,2,0.004373661,0.859929965,2.668334943,326.2222222,1.38,0.8708,0.71423,0.66581,0,0.386884663,0,0.386884663
HeadAndNeck,24131-08,3,0.038229499,0.360930465,3.218956036,271.1111111,1.9936,0.2572,1.3755,0.61815,0.020991,0.114270482,0.009326017,0.123596499
HeadAndNeck,24131-08,5,0.003008843,1.028764382,4.537141034,236,0.72358,1.5273,0.22195,0.50163,0,0.678534618,0,0.678534618
HeadAndNeck,24131-08,7,0.008384764,1.065532766,4.591559498,171.5555556,0.95233,1.2985,0.38141,0.57092,0.029843,0.5768983,0.013258665,0.590156964
HeadAndNeck,24131-08,8,0.129335301,0.16058029,1.688440328,436.4444444,2.2508,0,0.17946,2.0714,0,0,0,0
HeadAndNeck,24131-08,9,0.004175449,0.922961481,3.556005803,252.4444444,1.1781,1.0728,0.59496,0.58313,0.0072145,0.476609356,0.003205162,0.479814519
HeadAndNeck,24131-08,10,0.122381034,0.213106553,2.320140903,326.2222222,2.2508,0,1.2526,0.99824,0.0043813,0,0.001946552,0.001946552
HeadAndNeck,24131-08,11,0.053964097,0.145572786,1.893097104,483.1111111,2.1971,0.05372,0.5704,1.6267,0.00035785,0.023866857,0.000158987,0.024025844
HeadAndNeck,24131-08,12,0.015829276,1.316158079,30.14397803,28.88888889,0.12585,2.125,0.037291,0.088562,0,0.944087789,0,0.944087789
HeadAndNeck,24131-08,13,0.003579354,1.017508754,5.658677032,174.2222222,0.55807,1.6928,0.20247,0.3556,0,0.752064757,0,0.752064757
HeadAndNeck,27066-08,1,0.040163703,0.410455228,1.853447523,208,2.2468,0.004067,0.38026,1.8665,0,0.001806859,0,0.001806859
HeadAndNeck,27066-08,2,0.019103024,0.23861931,1.843532888,310.2222222,1.7665,0.48432,0.63333,1.1332,0,0.215174914,0,0.215174914
HeadAndNeck,27066-08,3,0.332971615,0.158329165,2.16028239,148.8888889,2.2248,0.02606,0.97796,1.2468,0.077057,0.011577797,0.03423447,0.045812267
HeadAndNeck,27066-08,4,0.068139122,0.25887944,2.576937222,234.6666667,2.0349,0.21599,0.97349,1.0614,0.23194,0.095957599,0.103043685,0.199001284
HeadAndNeck,27066-08,5,0.134518364,0.251375688,1.571836564,408.4444444,2.1412,0.10967,0.4325,1.7087,0,0.048723383,0,0.048723383
HeadAndNeck,27066-08,6,0.096013808,0.148574287,2.02237462,247.1111111,2.0533,0.19758,0.87088,1.1824,0,0.087779002,0,0.087779002
HeadAndNeck,27066-08,7,0.061367761,0.266383192,1.983336119,299.1111111,2.2508,0,0.28943,1.9614,0,0,0,0
HeadAndNeck,27066-08,8,0.089752969,0.414207104,3.234268112,72.44444444,2.2508,0,1.0442,1.2066,0.54911,0,0.243962147,0.243962147
HeadAndNeck,27066-08,9,0.136148128,0.146323162,1.863432689,328,2.1745,0.076373,1.2677,0.90674,0,0.033930391,0,0.033930391
HeadAndNeck,27066-08,10,0.147256126,0.162831416,1.949308689,148.4444444,2.2508,0,1.1035,1.1473,0,0,0,0
HeadAndNeck,27066-08,11,0.109678576,0.126063032,1.714268133,304,2.2508,0,0.80782,1.443,0,0,0,0
HeadAndNeck,27066-08,12,0.079282485,0.194347174,1.725571408,324.8888889,2.2508,0,0.58408,1.6668,0,0,0,0
HeadAndNeck,27066-08,13,0.109597119,0.182341171,1.960779648,344,2.2508,0,0.61596,1.6349,0,0,0,0
HeadAndNeck,27066-08,14,0.144349223,0.165082541,1.775185058,250.6666667,2.2508,0,0.80445,1.4464,0,0,0,0
HeadAndNeck,27066-08,15,0.027733526,0.225862931,2.265873779,232.4444444,2.0696,0.18126,0.65989,1.4097,0,0.08052922,0,0.08052922
HeadAndNeck,27066-08,17,0.172105778,0.127563782,1.883639578,329.7777778,2.2508,0,0.85601,1.3948,0,0,0,0
HeadAndNeck,27066-08,18,0.192974224,0.094547274,1.418745476,400,2.2508,0,0.85697,1.3939,0,0,0,0
HeadAndNeck,27066-08,19,0.079056598,0.159829915,1.867545191,298.6666667,1.9359,0.31498,0.55137,1.3845,0,0.13993638,0,0.13993638
HeadAndNeck,27066-08,20,0.214790964,0.136568284,1.479063429,423.1111111,2.245,0.0058391,0.17831,2.0667,0,0.002594188,0,0.002594188
HeadAndNeck,27066-08,21,0.085990127,0.210855428,1.919162604,150.6666667,2.2505,0.00037574,0.90754,1.3429,0,0.000166931,0,0.000166931
