Image,Score,minJ,maxSCDr,maxPCF,Density,Notes,hasNotes
1,0,0.041252743,0.292646323,2.055667398,288,nan,FALSE
2,2,0.086866462,0.12156078,1.447201214,277.3333333,nan,FALSE
3,1,0.260944699,0.14182091,2.081978842,228,nan,FALSE
7,2,0.083572961,0.127563782,1.562281815,812.8888889,nan,FALSE
9,2,0.241949639,0.163581791,1.487428143,332.8888889,nan,FALSE
10,1,0.114708751,0.135067534,1.564367648,339.5555556,nan,FALSE
11,0,0.028492285,0.251375688,2.30388677,240,nan,FALSE
15,1,0.012943228,0.174837419,1.685701729,381.3333333,nan,FALSE
16,1,0.027681434,0.171835918,1.661615196,327.1111111,nan,FALSE
17,0,0.024654216,0.309904952,1.842537599,441.7777778,nan,FALSE
18,0,0.005244419,0.709104552,3.391911513,218.2222222,nan,FALSE
19,0,0.019867508,0.176338169,1.8771068,388,nan,FALSE
20,1,0.024691051,0.297148574,1.786353725,425.3333333,nan,FALSE
21,2,0.080080515,0.12156078,1.555664167,392.4444444,nan,FALSE
22,1,0.135726376,0.156828414,2.048515567,292.8888889,nan,FALSE
23,3,0.110819005,0.133566783,1.618327007,379.1111111,nan,FALSE
26,0,0.00924331,0.356428214,2.209844582,266.2222222,nan,FALSE
27,2,0.299548205,0.158329165,1.838192646,104.8888889,nan,FALSE
28,2,0.243786516,0.174837419,2.484871163,127.5555556,nan,FALSE
29,0,0.066302428,0.243871936,3.064210439,211.1111111,nan,FALSE
30,0,0.051686896,0.204852426,1.981332709,239.1111111,nan,FALSE
31,0,0.256013115,0.212356178,2.480807171,175.5555556,nan,FALSE
33,1,0.080316251,0.171835918,1.64273924,346.2222222,nan,FALSE
37,1,0.062549082,0.249124562,2.02805294,135.1111111,nan,FALSE
38,3,0.298492823,0.22136068,1.641608231,88.88888889,nan,FALSE
39,1,0.032130941,0.185342671,1.826401689,315.1111111,nan,FALSE
40,0,0.074746575,0.177088544,1.936123156,408.4444444,nan,FALSE
41,3,0.527083088,0.058529265,1.145122938,743.5555556,nan,FALSE
42,3,0.078951827,0.07803902,1.170733157,708,nan,FALSE
43,3,0.274955083,0.066033017,1.242473844,769.3333333,nan,FALSE
44,0,0.153404507,0.110305153,1.3618357,682.6666667,nan,FALSE
45,3,0.544971912,0.081790895,1.31398566,597.3333333,nan,FALSE
46,3,0.148080056,0.08104052,1.221295806,620,nan,FALSE
47,3,0.094069392,0.108054027,1.282713474,552.8888889,nan,FALSE
48,3,0.35359837,0.129814907,1.417196906,305.7777778,nan,FALSE
50,2,0.136118891,0.07803902,1.256427709,731.5555556,nan,FALSE
51,2,0.020416415,0.463731866,1.701964258,212.8888889,nan,FALSE
52,3,0.136670086,0.096798399,1.458820707,555.1111111,nan,FALSE
53,3,0.380706466,0.116308154,1.208535956,324.4444444,nan,FALSE
54,3,0.494219974,0.080290145,1.200399825,412.8888889,nan,FALSE
55,0,0.011480341,0.26038019,1.435819537,646.6666667,nan,FALSE
56,2,0.048023211,0.168084042,1.510430989,373.3333333,nan,FALSE
57,3,0.386195363,0.115557779,1.315713582,228,nan,FALSE
58,3,0.167489125,0.072786393,1.131943194,754.2222222,nan,FALSE
59,1,0.093726912,0.247623812,2.013811143,256.8888889,nan,FALSE
60,1,0.102582939,0.148574287,1.561453155,503.1111111,nan,FALSE
61,1,0.21131427,0.091545773,1.394276006,626.2222222,nan,FALSE
62,0,0.099232307,0.12156078,2.289200032,443.5555556,nan,FALSE
63,1,0.024773924,0.234867434,1.644115018,500.8888889,nan,FALSE
64,1,0.416024198,0.094547274,1.664001419,400.8888889,nan,FALSE
65,0,0.02491247,0.365432716,2.121829295,361.7777778,nan,FALSE
66,0,0.010391638,0.46148074,2.26760719,268.8888889,nan,FALSE
