Iteration,Rho,Length Scale (mm),Target Density per mm squared,True Density per mm squared,Tumour Area (mm2),Stroma Area (mm2),maxPCF,maxSCDr,minJ
0,0.67,0.616,496.5,496.9,1.341,0.909,1.2115497110975617,0.05552776388194097,1.0
1,0.345,0.485,348.3,348.4,1.035,1.215,1.3679027832094186,0.09229614807403702,0.901536375299214
2,0.138,0.459,513.6,514.2,0.633,1.617,1.445610173424528,0.10955477738869435,0.2115684282039623
3,0.812,0.537,337.0,337.3,1.197,1.053,1.077119821154165,0.07953976988494248,0.9926893813140261
4,0.302,0.478,101.9,102.2,0.777,1.473,1.332753438652006,0.1500750375187594,0.5274083364543832
5,0.285,0.268,367.1,367.6,1.127,1.123,1.5267647219923257,0.13206603301650827,0.20476872796135867
6,0.28,0.341,270.2,270.7,0.62,1.63,1.2169716573696476,0.10130065032516258,0.26899448963256267
7,0.751,0.607,357.5,358.2,1.8,0.45,1.1100755156234197,0.09229614807403702,0.3133551293757181
9,0.616,0.528,527.3,527.6,0.74,1.51,1.1307679665326331,0.07728864432216108,0.562539990566546
10,0.794,0.306,73.2,73.3,1.056,1.194,1.2226707165299617,0.17933966983491745,0.7453570928172454
11,0.435,0.303,249.4,250.2,1.522,0.728,1.341613515361465,0.10130065032516258,0.7925684237332282
12,0.999,0.466,313.3,313.8,1.417,0.833,1.1224302676003792,0.07728864432216108,1.0
13,0.691,0.271,300.4,300.9,1.446,0.804,1.21110543411306,0.07953976988494248,1.0
14,0.526,0.336,443.3,444.0,1.023,1.227,1.2470255018937209,0.0727863931965983,1.0
15,0.152,0.64,401.6,402.2,0.267,1.983,1.1356381987169146,0.12456228114057029,0.2828200748009091
16,0.947,0.459,459.7,460.0,1.551,0.699,1.0856613889463043,0.061530765382691345,1.0
17,0.618,0.709,379.7,380.0,0.692,1.558,1.1562752923856228,0.0712856428214107,0.7419280994505255
18,0.295,0.275,464.3,464.9,0.494,1.756,1.246408451148013,0.08029014507253626,0.4979431799995219
19,0.23,0.507,312.9,313.3,1.951,0.299,1.836136094032109,0.08329164582291146,0.8916921037270971
20,0.268,0.6,165.3,165.8,1.305,0.945,1.7675818507337524,0.13731865932966483,0.28117003076288305
21,0.806,0.244,410.7,411.1,1.62,0.63,1.151321719142248,0.06603301650825413,1.0
22,0.924,0.719,122.1,122.7,1.697,0.553,1.4967128983603286,0.13356678339169584,1.0
23,0.146,0.278,324.8,325.3,1.46,0.79,2.0468532475701373,0.13206603301650827,0.3225840033919204
24,0.411,0.118,406.9,407.6,1.048,1.202,1.2042613798453676,0.0742871435717859,1.0
25,0.701,0.111,413.6,414.2,1.043,1.207,1.1697932244864848,0.06978489244622312,1.0
26,0.988,0.215,83.7,84.0,0.873,1.377,1.3228665946833977,0.2221110555277639,0.45169222065282105
27,0.888,0.701,473.9,474.2,1.123,1.127,1.1977534830581744,0.058529264632316155,1.0
28,0.257,0.584,453.1,453.3,1.606,0.644,1.8765992175353403,0.08554277138569284,0.5338713748244924
29,0.117,0.172,217.5,218.2,1.063,1.187,1.5076244221891704,0.17033516758379189,0.08651438256124877
